52.7404 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
52.7996 	DATA 	Keypress: left
52.8096 	EXP 	image_introduction: autoDraw = False
52.8096 	EXP 	image: image = 'images/circle'
52.8096 	EXP 	text: height = 0.05
52.8096 	EXP 	text: height = 0.05
52.8096 	EXP 	text: height = 0.05
52.8096 	EXP 	text: text = 'راست'
52.8096 	EXP 	image: autoDraw = True
52.8096 	EXP 	text: autoDraw = True
53.5233 	DATA 	Keypress: right
53.5307 	EXP 	image: autoDraw = False
53.5307 	EXP 	text: autoDraw = False
53.5307 	EXP 	feedback_text_component: foreColor = 'green'
53.5307 	EXP 	feedback_text_component: height = 0.05
53.5307 	EXP 	feedback_text_component: height = 0.05
53.5307 	EXP 	feedback_text_component: height = 0.05
53.5307 	EXP 	feedback_text_component: text = 'درست'
53.5307 	EXP 	feedback_text_component: autoDraw = True
54.5198 	EXP 	feedback_text_component: autoDraw = False
54.5198 	EXP 	plus_image: autoDraw = True
55.5038 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
55.5047 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
55.5422 	EXP 	plus_image: autoDraw = False
55.5422 	EXP 	image: image = 'images/circle'
55.5422 	EXP 	text: height = 0.05
55.5422 	EXP 	text: height = 0.05
55.5422 	EXP 	text: height = 0.05
55.5422 	EXP 	text: text = 'راست'
55.5422 	EXP 	image: autoDraw = True
55.5422 	EXP 	text: autoDraw = True
56.5496 	EXP 	image: autoDraw = False
56.5496 	EXP 	text: autoDraw = False
56.9664 	DATA 	Keypress: right
56.9778 	EXP 	image: autoDraw = False
56.9778 	EXP 	text: autoDraw = False
56.9778 	EXP 	feedback_text_component: foreColor = 'green'
56.9778 	EXP 	feedback_text_component: height = 0.05
56.9778 	EXP 	feedback_text_component: height = 0.05
56.9778 	EXP 	feedback_text_component: height = 0.05
56.9778 	EXP 	feedback_text_component: text = 'درست'
56.9778 	EXP 	feedback_text_component: autoDraw = True
57.9864 	EXP 	feedback_text_component: autoDraw = False
57.9864 	EXP 	plus_image: autoDraw = True
58.9659 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
58.9668 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
59.0147 	EXP 	plus_image: autoDraw = False
59.0147 	EXP 	image: image = 'images/square'
59.0147 	EXP 	text: height = 0.05
59.0147 	EXP 	text: height = 0.05
59.0147 	EXP 	text: height = 0.05
59.0147 	EXP 	text: text = 'چپ'
59.0147 	EXP 	image: autoDraw = True
59.0147 	EXP 	text: autoDraw = True
59.6669 	DATA 	Keypress: left
59.6831 	EXP 	image: autoDraw = False
59.6831 	EXP 	text: autoDraw = False
59.6831 	EXP 	feedback_text_component: foreColor = 'green'
59.6831 	EXP 	feedback_text_component: height = 0.05
59.6831 	EXP 	feedback_text_component: height = 0.05
59.6831 	EXP 	feedback_text_component: height = 0.05
59.6831 	EXP 	feedback_text_component: text = 'درست'
59.6831 	EXP 	feedback_text_component: autoDraw = True
60.6843 	EXP 	feedback_text_component: autoDraw = False
60.6843 	EXP 	plus_image: autoDraw = True
61.6871 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
61.6884 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
61.7294 	EXP 	plus_image: autoDraw = False
61.7294 	EXP 	image: image = 'images/square'
61.7294 	EXP 	text: height = 0.05
61.7294 	EXP 	text: height = 0.05
61.7294 	EXP 	text: height = 0.05
61.7294 	EXP 	text: text = 'چپ'
61.7294 	EXP 	image: autoDraw = True
61.7294 	EXP 	text: autoDraw = True
62.6045 	DATA 	Keypress: left
62.6132 	EXP 	image: autoDraw = False
62.6132 	EXP 	text: autoDraw = False
62.6132 	EXP 	feedback_text_component: foreColor = 'green'
62.6132 	EXP 	feedback_text_component: height = 0.05
62.6132 	EXP 	feedback_text_component: height = 0.05
62.6132 	EXP 	feedback_text_component: height = 0.05
62.6132 	EXP 	feedback_text_component: text = 'درست'
62.6132 	EXP 	feedback_text_component: autoDraw = True
63.6268 	EXP 	feedback_text_component: autoDraw = False
63.6268 	EXP 	plus_image: autoDraw = True
64.6251 	EXP 	New trial (rep=0, index=4): OrderedDict([('cue_image', 'images/square'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
64.6256 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
64.6681 	EXP 	plus_image: autoDraw = False
64.6681 	EXP 	image: image = 'images/square'
64.6681 	EXP 	text: height = 0.05
64.6681 	EXP 	text: height = 0.05
64.6681 	EXP 	text: height = 0.05
64.6681 	EXP 	text: text = 'هیچ'
64.6681 	EXP 	image: autoDraw = True
64.6681 	EXP 	text: autoDraw = True
65.6802 	EXP 	image: autoDraw = False
65.6802 	EXP 	text: autoDraw = False
66.6904 	EXP 	image: autoDraw = False
66.6904 	EXP 	text: autoDraw = False
66.6904 	EXP 	feedback_text_component: foreColor = 'green'
66.6904 	EXP 	feedback_text_component: height = 0.05
66.6904 	EXP 	feedback_text_component: height = 0.05
66.6904 	EXP 	feedback_text_component: height = 0.05
66.6904 	EXP 	feedback_text_component: text = 'درست'
66.6904 	EXP 	feedback_text_component: autoDraw = True
67.6902 	EXP 	feedback_text_component: autoDraw = False
67.6902 	EXP 	plus_image: autoDraw = True
68.6921 	EXP 	New trial (rep=0, index=5): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
68.6932 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
68.7333 	EXP 	plus_image: autoDraw = False
68.7333 	EXP 	image: image = 'images/circle'
68.7333 	EXP 	text: height = 0.05
68.7333 	EXP 	text: height = 0.05
68.7333 	EXP 	text: height = 0.05
68.7333 	EXP 	text: text = 'هیچ'
68.7333 	EXP 	image: autoDraw = True
68.7333 	EXP 	text: autoDraw = True
69.7361 	EXP 	image: autoDraw = False
69.7361 	EXP 	text: autoDraw = False
70.7682 	EXP 	image: autoDraw = False
70.7682 	EXP 	text: autoDraw = False
70.7682 	EXP 	feedback_text_component: foreColor = 'green'
70.7682 	EXP 	feedback_text_component: height = 0.05
70.7682 	EXP 	feedback_text_component: height = 0.05
70.7682 	EXP 	feedback_text_component: height = 0.05
70.7682 	EXP 	feedback_text_component: text = 'درست'
70.7682 	EXP 	feedback_text_component: autoDraw = True
71.7747 	EXP 	feedback_text_component: autoDraw = False
71.7747 	EXP 	plus_image: autoDraw = True
72.7541 	EXP 	New trial (rep=0, index=6): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
72.7549 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
72.8003 	EXP 	plus_image: autoDraw = False
72.8003 	EXP 	image: image = 'images/square'
72.8003 	EXP 	text: height = 0.05
72.8003 	EXP 	text: height = 0.05
72.8003 	EXP 	text: height = 0.05
72.8003 	EXP 	text: text = 'چپ'
72.8003 	EXP 	image: autoDraw = True
72.8003 	EXP 	text: autoDraw = True
73.5383 	DATA 	Keypress: left
73.5447 	EXP 	image: autoDraw = False
73.5447 	EXP 	text: autoDraw = False
73.5447 	EXP 	feedback_text_component: foreColor = 'green'
73.5447 	EXP 	feedback_text_component: height = 0.05
73.5447 	EXP 	feedback_text_component: height = 0.05
73.5447 	EXP 	feedback_text_component: height = 0.05
73.5447 	EXP 	feedback_text_component: text = 'درست'
73.5447 	EXP 	feedback_text_component: autoDraw = True
74.5734 	EXP 	feedback_text_component: autoDraw = False
74.5734 	EXP 	plus_image: autoDraw = True
75.5755 	EXP 	New trial (rep=0, index=7): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
75.5768 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
75.6190 	EXP 	plus_image: autoDraw = False
75.6190 	EXP 	image: image = 'images/circle'
75.6190 	EXP 	text: height = 0.05
75.6190 	EXP 	text: height = 0.05
75.6190 	EXP 	text: height = 0.05
75.6190 	EXP 	text: text = 'راست'
75.6190 	EXP 	image: autoDraw = True
75.6190 	EXP 	text: autoDraw = True
76.2821 	DATA 	Keypress: right
76.3258 	EXP 	image: autoDraw = False
76.3258 	EXP 	text: autoDraw = False
76.3258 	EXP 	feedback_text_component: foreColor = 'green'
76.3258 	EXP 	feedback_text_component: height = 0.05
76.3258 	EXP 	feedback_text_component: height = 0.05
76.3258 	EXP 	feedback_text_component: height = 0.05
76.3258 	EXP 	feedback_text_component: text = 'درست'
76.3258 	EXP 	feedback_text_component: autoDraw = True
77.3328 	EXP 	feedback_text_component: autoDraw = False
77.3328 	EXP 	plus_image: autoDraw = True
78.3340 	EXP 	New trial (rep=1, index=0): OrderedDict([('cue_image', 'images/square'), ('image_text', 'left'), ('stop_voice_flag', 0), ('corr_resp', 'left')])
78.3391 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
78.3793 	EXP 	plus_image: autoDraw = False
78.3793 	EXP 	image: image = 'images/square'
78.3793 	EXP 	text: height = 0.05
78.3793 	EXP 	text: height = 0.05
78.3793 	EXP 	text: height = 0.05
78.3793 	EXP 	text: text = 'چپ'
78.3793 	EXP 	image: autoDraw = True
78.3793 	EXP 	text: autoDraw = True
79.1427 	DATA 	Keypress: left
79.1490 	EXP 	image: autoDraw = False
79.1490 	EXP 	text: autoDraw = False
79.1490 	EXP 	feedback_text_component: foreColor = 'green'
79.1490 	EXP 	feedback_text_component: height = 0.05
79.1490 	EXP 	feedback_text_component: height = 0.05
79.1490 	EXP 	feedback_text_component: height = 0.05
79.1490 	EXP 	feedback_text_component: text = 'درست'
79.1490 	EXP 	feedback_text_component: autoDraw = True
80.1624 	EXP 	feedback_text_component: autoDraw = False
80.1624 	EXP 	plus_image: autoDraw = True
