43.5260 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
43.6615 	DATA 	Keypress: right
43.6740 	EXP 	image_introduction: autoDraw = False
43.6740 	EXP 	image: image = 'images/circle'
43.6740 	EXP 	text: height = 0.05
43.6740 	EXP 	text: height = 0.05
43.6740 	EXP 	text: height = 0.05
43.6740 	EXP 	text: text = 'راست'
43.6740 	EXP 	image: autoDraw = True
43.6740 	EXP 	text: autoDraw = True
44.5165 	DATA 	Keypress: right
44.5227 	EXP 	image: autoDraw = False
44.5227 	EXP 	text: autoDraw = False
44.5227 	EXP 	feedback_text_component: foreColor = 'green'
44.5227 	EXP 	feedback_text_component: height = 0.05
44.5227 	EXP 	feedback_text_component: height = 0.05
44.5227 	EXP 	feedback_text_component: height = 0.05
44.5227 	EXP 	feedback_text_component: text = 'درست'
44.5227 	EXP 	feedback_text_component: autoDraw = True
45.5277 	EXP 	feedback_text_component: autoDraw = False
45.5277 	EXP 	plus_image: autoDraw = True
46.5151 	EXP 	New trial (rep=0, index=1): OrderedDict([('cue_image', 'images/square'), ('image_text', 'No'), ('stop_voice_flag', 1), ('corr_resp', 'None')])
46.5159 	WARNING 	Requested image 'images/square' not found but similar filename 'images/square.png' exists. This will be used instead but changing the filename is advised.
46.6670 	EXP 	plus_image: autoDraw = False
46.6670 	EXP 	image: image = 'images/square'
46.6670 	EXP 	text: height = 0.05
46.6670 	EXP 	text: height = 0.05
46.6670 	EXP 	text: height = 0.05
46.6670 	EXP 	text: text = 'هیچ'
46.6670 	EXP 	image: autoDraw = True
46.6670 	EXP 	text: autoDraw = True
47.6801 	EXP 	image: autoDraw = False
47.6801 	EXP 	text: autoDraw = False
48.6988 	EXP 	image: autoDraw = False
48.6988 	EXP 	text: autoDraw = False
48.6988 	EXP 	feedback_text_component: foreColor = 'green'
48.6988 	EXP 	feedback_text_component: height = 0.05
48.6988 	EXP 	feedback_text_component: height = 0.05
48.6988 	EXP 	feedback_text_component: height = 0.05
48.6988 	EXP 	feedback_text_component: text = 'درست'
48.6988 	EXP 	feedback_text_component: autoDraw = True
49.6933 	EXP 	feedback_text_component: autoDraw = False
49.6933 	EXP 	plus_image: autoDraw = True
50.6851 	EXP 	New trial (rep=0, index=2): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
50.6860 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
50.7284 	EXP 	plus_image: autoDraw = False
50.7284 	EXP 	image: image = 'images/circle'
50.7284 	EXP 	text: height = 0.05
50.7284 	EXP 	text: height = 0.05
50.7284 	EXP 	text: height = 0.05
50.7284 	EXP 	text: text = 'راست'
50.7284 	EXP 	image: autoDraw = True
50.7284 	EXP 	text: autoDraw = True
51.3753 	DATA 	Keypress: right
51.3820 	EXP 	image: autoDraw = False
51.3820 	EXP 	text: autoDraw = False
51.3820 	EXP 	feedback_text_component: foreColor = 'green'
51.3820 	EXP 	feedback_text_component: height = 0.05
51.3820 	EXP 	feedback_text_component: height = 0.05
51.3820 	EXP 	feedback_text_component: height = 0.05
51.3820 	EXP 	feedback_text_component: text = 'درست'
51.3820 	EXP 	feedback_text_component: autoDraw = True
52.3804 	EXP 	feedback_text_component: autoDraw = False
52.3804 	EXP 	plus_image: autoDraw = True
53.3818 	EXP 	New trial (rep=0, index=3): OrderedDict([('cue_image', 'images/circle'), ('image_text', 'right'), ('stop_voice_flag', 0), ('corr_resp', 'right')])
53.3828 	WARNING 	Requested image 'images/circle' not found but similar filename 'images/circle.png' exists. This will be used instead but changing the filename is advised.
